#cycle; #nombre morts; #taux global occupation; #distance global terroriste; #duree evenement
492; 56; 15.666666666666666; 46.99260331353414; 120.48
493; 56; 15.666666666666666; 45.11225248829737; 120.6
494; 56; 15.333333333333334; 43.53444383886899; 120.687
495; 56; 15.333333333333334; 41.96006466194182; 120.804
496; 56; 15.333333333333334; 40.38933444296191; 120.903
497; 56; 15.333333333333334; 38.82249887316536; 121.013
498; 56; 15.333333333333334; 37.51460659675075; 121.101
499; 56; 15.333333333333334; 35.95134480211774; 121.211
500; 56; 15.333333333333334; 34.66166823763804; 121.296
501; 56; 15.333333333333334; 33.09579204229946; 121.406
502; 56; 15.333333333333334; 31.67348939649831; 121.497
503; 56; 15.333333333333334; 30.255390640277003; 121.602
504; 56; 15.333333333333334; 29.00277784491006; 121.699
505; 56; 15.333333333333334; 27.43380090726018; 121.791
506; 56; 14.666666666666666; 26.864015342965956; 121.88
507; 56; 14.666666666666666; 26.128320872449297; 121.982
508; 56; 14.666666666666666; 25.39262666158196; 122.072
509; 56; 14.666666666666666; 24.65693272356553; 122.166
510; 56; 14.666666666666666; 23.921239072511963; 122.24
511; 56; 14.666666666666666; 23.018879056856765; 122.327
512; 56; 14.666666666666666; 22.44985269278075; 122.412
